time,raw_x,raw_y,raw_z
1782305110359.701,-0.1270751953125,0.2327880859375,1.0770263671875
1782305110375.3198,-0.1097412109375,0.1158447265625,1.1883544921875
1782305110391.1562,-0.05712890625,0.0635986328125,1.213623046875
1782305110407.3604,-0.0064697265625,0.1502685546875,1.09814453125
1782305110423.7046,-0.040283203125,0.244140625,1.0081787109375
1782305110439.6216,-0.0799560546875,0.2373046875,1.0137939453125
1782305110455.645,-0.1357421875,0.1468505859375,1.117919921875
1782305110471.4678,-0.0794677734375,0.070068359375,1.169189453125
1782305110487.9404,-0.0447998046875,0.057373046875,1.1590576171875
1782305110503.8923,-0.0211181640625,0.111083984375,1.0821533203125
1782305110539.622,-0.06298828125,0.16650390625,1.0284423828125
1782305110539.6526,-0.0885009765625,0.18017578125,1.0528564453125
1782305110551.7493,-0.1214599609375,0.1700439453125,1.1895751953125
1782305110569.3928,-0.08447265625,0.0545654296875,1.30126953125
1782305110586.7354,-0.055908203125,-0.013427734375,1.3138427734375
1782305110599.9338,-0.0191650390625,-0.0582275390625,1.253662109375
1782305110615.724,-0.0093994140625,0.0006103515625,1.1109619140625
1782305110631.8433,0.002197265625,0.0386962890625,1.0518798828125
1782305110648.0657,0.05126953125,0.060546875,0.9915771484375
1782305110663.9756,0.08984375,0.0064697265625,0.9713134765625
1782305110680.404,0.0875244140625,-0.0283203125,0.9757080078125
1782305110696.1472,0.0191650390625,0.011474609375,1.0084228515625
1782305110711.981,-0.0411376953125,0.016845703125,1.08837890625
1782305110728.1797,-0.0489501953125,-0.01123046875,1.11181640625
1782305110744.1633,-0.064697265625,-0.0242919921875,1.1607666015625
1782305110760.1287,-0.0814208984375,-0.05126953125,1.2086181640625
1782305110776.2087,-0.0888671875,-0.0511474609375,1.267333984375
1782305110792.344,-0.0908203125,-0.0635986328125,1.2601318359375
1782305110808.2197,-0.0516357421875,-0.1220703125,1.26953125
1782305110824.6135,0.003173828125,-0.1708984375,1.291015625
1782305110840.648,0.0269775390625,-0.1822509765625,1.2906494140625
1782305110856.4587,0.06689453125,-0.176025390625,1.298095703125
1782305110872.5605,0.081298828125,-0.14111328125,1.2840576171875
1782305110888.4795,0.092041015625,-0.149169921875,1.2711181640625
1782305110904.4575,0.1075439453125,-0.11328125,1.2000732421875
1782305110920.5867,0.0924072265625,-0.048583984375,1.150146484375
1782305110936.7063,0.0885009765625,-0.0343017578125,1.1409912109375
1782305110952.7612,0.06005859375,-0.037353515625,1.2061767578125
1782305110968.7065,0.012451171875,-0.0494384765625,1.3087158203125
1782305110984.764,-0.0023193359375,-0.062744140625,1.3438720703125
1782305111001.0464,-0.0203857421875,-0.0751953125,1.3765869140625
1782305111016.8809,-0.0343017578125,-0.059326171875,1.3487548828125
1782305111032.907,-0.0390625,-0.055419921875,1.32861328125
1782305111048.8457,-0.0382080078125,-0.0516357421875,1.2965087890625
1782305111064.9534,-0.040771484375,0.0081787109375,1.2540283203125
1782305111081.045,-0.0428466796875,0.0421142578125,1.234619140625
1782305111097.0532,-0.02880859375,0.0921630859375,1.1749267578125
1782305111113.1882,-0.0030517578125,0.141357421875,1.10693359375
1782305111129.1145,0.0113525390625,0.150390625,1.0560302734375
1782305111145.2551,0.0128173828125,0.0404052734375,1.020263671875
1782305111161.4268,0.0306396484375,-0.1043701171875,1.097900390625
1782305111177.1536,0.0308837890625,-0.086181640625,1.1202392578125
1782305111193.2017,-0.010009765625,0.08740234375,1.1611328125
1782305111209.1296,-0.048095703125,0.2071533203125,1.0614013671875
1782305111225.372,-0.06787109375,0.2215576171875,1.0106201171875
1782305111241.3232,-0.0640869140625,0.2515869140625,1.013671875
1782305111257.4067,-0.0487060546875,0.236572265625,0.9627685546875
1782305111273.4214,-0.0333251953125,0.2279052734375,0.9039306640625
1782305111289.4902,-0.025634765625,0.233154296875,0.8685302734375
