time,raw_x,raw_y,raw_z
1782304650865.6714,-0.008544921875,-0.016845703125,1.0179443359375
1782304650881.284,-0.0093994140625,-0.016357421875,1.0174560546875
1782304650897.2554,-0.0079345703125,-0.0155029296875,1.0177001953125
1782304650913.3281,-0.007568359375,-0.01416015625,1.0181884765625
1782304650929.4685,-0.00830078125,-0.014404296875,1.0186767578125
1782304650945.4153,-0.0081787109375,-0.014892578125,1.0164794921875
1782304650961.586,-0.0084228515625,-0.014892578125,1.0166015625
1782304650977.568,-0.0081787109375,-0.01611328125,1.0177001953125
1782304650993.5679,-0.009521484375,-0.0172119140625,1.0186767578125
1782304651009.482,-0.009033203125,-0.0167236328125,1.01806640625
1782304651039.474,-0.0096435546875,-0.0159912109375,1.0174560546875
1782304651042.0718,-0.00830078125,-0.015625,1.017578125
1782304651057.8845,-0.0081787109375,-0.0157470703125,1.017333984375
1782304651074.0708,-0.008056640625,-0.0150146484375,1.0179443359375
1782304651089.7717,-0.0087890625,-0.015380859375,1.0174560546875
1782304651105.9497,-0.0087890625,-0.015869140625,1.0169677734375
1782304651121.971,-0.0086669921875,-0.014892578125,1.017333984375
1782304651137.9263,-0.0089111328125,-0.0150146484375,1.01806640625
1782304651153.924,-0.0087890625,-0.0146484375,1.018310546875
1782304651169.9194,-0.007568359375,-0.0159912109375,1.0184326171875
1782304651186.599,-0.0078125,-0.0155029296875,1.017333984375
1782304651202.169,-0.00830078125,-0.01611328125,1.017333984375
1782304651218.6057,-0.0078125,-0.0155029296875,1.0179443359375
1782304651234.2654,-0.009033203125,-0.01611328125,1.0172119140625
1782304651250.436,-0.008056640625,-0.0159912109375,1.0177001953125
1782304651266.394,-0.0096435546875,-0.015625,1.01806640625
1782304651282.2732,-0.00830078125,-0.015869140625,1.0181884765625
1782304651298.3057,-0.0079345703125,-0.0155029296875,1.0177001953125
1782304651314.271,-0.0089111328125,-0.01513671875,1.017578125
1782304651330.7188,-0.0081787109375,-0.0157470703125,1.0179443359375
1782304651346.8591,-0.0081787109375,-0.0152587890625,1.01806640625
1782304651362.6807,-0.0079345703125,-0.0155029296875,1.01806640625
1782304651378.597,-0.009033203125,-0.01513671875,1.01708984375
1782304651394.6345,-0.0084228515625,-0.0155029296875,1.0177001953125
1782304651410.748,-0.009033203125,-0.0155029296875,1.0179443359375
1782304651426.72,-0.0091552734375,-0.01611328125,1.017578125
